s2cell id,total image pixel count,20200105,20200117,20200129,20200210,20200222,20200305,20200317,20200329,20200410,20200422,20200504,20200516,20200528,20200609,20200621,20200703,20200715,20200727,20200808,20200820,20200901,20200913,20200925,20201007,20201019,20201031,20201112,20201124,20201206,20210111,20210123,20210204,20210216,20210228,20210312,20210324,20210405,20210417,20210429,20210511,20210523,20210604,20210616,20210628,20210710,20210722,20210803,20210815,20210827,20210908,20210920,20211002,20211014,20211026,20211119,20211201,20211213,20211225,20220106,20220130,20220211,20220223,20220307,20220319,20220331,20220412,20220424,20220506,20220518,20220530
00000000000000006390,3254,7,3,3,9,5,6,1,14,0,1,21,2,1,1,2,5,10,0,0,1,1,4,1,5,9,9,4,2,1,0,9,5,4,3,5,7,8,20,16,54,16,4,6,1,4,18,12,4,1,0,0,0,2,0,2,5,0,0,10,9,7,2,5,3,1,5,3,0,2,2
00000000000000006391,3258,54,47,74,73,64,77,67,46,46,72,135,50,55,83,48,65,71,46,60,45,67,48,39,23,35,28,16,25,40,19,103,122,104,72,78,50,48,50,55,241,78,85,170,92,82,66,54,74,44,44,42,40,56,87,71,60,50,71,91,50,52,65,44,27,35,34,68,17,31,10
00000000000000006394,3257,10,13,34,19,30,40,28,28,19,42,95,19,33,21,18,21,26,31,29,11,35,29,25,18,30,17,21,24,16,1,15,12,34,38,24,13,16,16,23,56,23,8,28,31,38,30,30,25,16,6,17,20,18,34,26,42,57,29,34,12,26,25,14,7,10,20,9,7,14,9
00000000000000006395,3261,1,1,3,11,15,14,6,19,4,11,51,26,2,10,5,2,22,12,2,2,0,9,11,17,14,6,8,6,2,5,6,4,16,16,10,12,13,11,8,59,15,14,16,9,10,34,18,9,6,1,5,3,3,12,6,5,1,10,8,5,2,0,2,1,0,1,0,0,0,2
00000000000000006396,3260,51,13,16,27,28,13,21,31,18,16,44,9,18,31,32,21,12,13,6,11,6,7,2,2,7,7,20,10,8,29,20,57,33,24,38,19,45,52,40,57,33,17,63,37,28,43,32,30,14,23,16,12,10,16,23,17,23,13,33,17,14,10,13,12,3,7,6,21,17,4
00000000000000006397,3256,72,55,36,71,47,45,50,86,39,63,144,58,40,269,95,124,82,41,53,62,53,41,49,41,74,41,34,77,37,58,100,119,56,81,116,95,82,71,91,278,102,105,118,62,65,74,95,87,55,76,113,116,101,94,73,112,95,124,112,103,110,92,104,84,40,85,197,44,42,40
00000000000000006398,3257,59,64,54,54,80,84,94,187,81,91,204,56,116,78,68,67,186,84,40,41,53,132,127,66,75,70,38,64,26,20,100,182,80,84,80,72,165,111,120,524,149,166,176,63,43,87,79,191,78,65,122,98,125,152,97,74,92,126,112,69,66,68,56,54,61,81,184,42,39,39
00000000000000006399,3261,70,99,72,49,85,87,40,108,46,67,156,21,93,40,35,44,119,66,62,18,44,36,33,16,32,11,30,37,6,1,90,73,23,31,29,56,68,84,26,238,35,25,95,36,43,112,70,143,45,30,96,70,47,106,37,57,38,37,30,18,36,17,30,33,21,31,59,23,21,19
0000000000000000639a,3259,12,6,1,11,18,11,10,15,2,4,9,16,6,15,8,7,7,5,10,3,11,11,5,1,1,1,4,0,0,14,10,11,17,22,7,18,16,7,7,31,14,1,8,6,7,5,21,11,13,20,10,12,4,13,1,8,8,9,11,4,7,8,9,7,16,18,3,6,9,14
0000000000000000639b,3259,13,10,4,9,10,0,7,14,2,4,33,22,3,12,0,2,10,5,11,2,3,9,6,3,5,6,1,8,0,18,33,16,9,2,8,11,14,30,19,96,27,18,26,13,15,16,13,15,8,3,14,7,9,25,8,28,15,16,14,16,17,3,2,6,4,9,10,6,5,6
